Participant,Time,Score,MLT
EFL_1,1,3,8.833333333
EFL_1,2,3,8.476190476
EFL_1,3,4,10.35714286
EFL_1,4,3,10.625
EFL_1,5,5,14.15384615
EFL_1,6,5,12.93333333
EFL_2,1,3,8.333333333
EFL_2,2,4,11.11764706
EFL_2,3,5,12.27777778
EFL_2,4,4,15.66666667
EFL_2,5,5,18.88888889
EFL_2,6,6,16.1
EFL_3,1,2,12.64285714
EFL_3,2,5,12.76470588
EFL_3,3,4,9.217391304
EFL_3,4,4,10.35
EFL_3,5,5,13.875
EFL_3,6,6,14.57142857
EFL_4,1,2,9.791666667
EFL_4,2,4,12.82352941
EFL_4,3,4,8.409090909
EFL_4,4,4,10.33333333
EFL_4,5,6,10.54545455
EFL_4,6,5,10.625
EFL_5,1,3,6.894736842
EFL_5,2,4,9.32
EFL_5,3,3,8.157894737
EFL_5,4,4,8.578947368
EFL_5,5,5,10.3125
EFL_5,6,5,11.84615385
EFL_6,1,2,10.1875
EFL_6,2,5,8.842105263
EFL_6,3,4,18.25
EFL_6,4,3,10.6
EFL_6,5,5,11.53333333
EFL_6,6,5,11.78571429
EFL_7,1,4,10.23809524
EFL_7,2,3,10.05882353
EFL_7,3,4,17.11111111
EFL_7,4,4,11.47058824
EFL_7,5,5,13.28571429
EFL_7,6,5,11.85714286
EFL_8,1,1,12.75
EFL_8,2,3,8.916666667
EFL_8,3,3,11
EFL_8,4,6,16.18181818
EFL_8,5,6,13.4375
EFL_8,6,7,14.45454545
EFL_9,1,2,7.6
EFL_9,2,4,10.95238095
EFL_9,3,4,8.481481481
EFL_9,4,4,8.826086957
EFL_9,5,4,13.85714286
EFL_9,6,5,11.41176471