Participant,Time,Score,DC_C,CN_C
EFL_1,1,3,0.083333333,0.583333333
EFL_1,2,3,0.074074074,0.37037037
EFL_1,3,4,0.217391304,0.52173913
EFL_1,4,3,0.233333333,0.433333333
EFL_1,5,5,0.454545455,0.590909091
EFL_1,6,5,0.451612903,0.548387097
EFL_2,1,3,0.162162162,0.378378378
EFL_2,2,4,0.24137931,0.724137931
EFL_2,3,5,0.235294118,0.764705882
EFL_2,4,4,0.3,0.3
EFL_2,5,5,0.5,0.65
EFL_2,6,6,0.5,0.45
EFL_3,1,2,0.24,0.32
EFL_3,2,5,0.285714286,0.607142857
EFL_3,3,4,0.033333333,0.566666667
EFL_3,4,4,0.166666667,0.5
EFL_3,5,5,0.230769231,0.653846154
EFL_3,6,6,0.384615385,0.692307692
EFL_4,1,2,0.142857143,0.514285714
EFL_4,2,4,0.275862069,0.655172414
EFL_4,3,4,0.258064516,0.35483871
EFL_4,4,4,0.193548387,0.483870968
EFL_4,5,6,0.242424242,0.303030303
EFL_4,6,5,0.407407407,0.518518519
EFL_5,1,3,0.130434783,0.434782609
EFL_5,2,4,0.151515152,0.424242424
EFL_5,3,3,0.125,0.291666667
EFL_5,4,4,0.153846154,0.307692308
EFL_5,5,5,0.291666667,0.416666667
EFL_5,6,5,0.35,0.55
EFL_6,1,2,0.269230769,0.5
EFL_6,2,5,0.148148148,0.111111111
EFL_6,3,4,0.5,0.636363636
EFL_6,4,3,0.304347826,0.391304348
EFL_6,5,5,0.310344828,0.482758621
EFL_6,6,5,0.444444444,0.666666667
EFL_7,1,4,0.034482759,0.448275862
EFL_7,2,3,0.208333333,0.458333333
EFL_7,3,4,0.5,0.384615385
EFL_7,4,4,0.233333333,0.3
EFL_7,5,5,0.111111111,0.5
EFL_7,6,5,0.37037037,0.37037037
EFL_8,1,1,0,0.538461538
EFL_8,2,3,0,0.4
EFL_8,3,3,0.238095238,0.476190476
EFL_8,4,6,0.315789474,0.421052632
EFL_8,5,6,0.333333333,0.541666667
EFL_8,6,7,0.35,0.85
EFL_9,1,2,0.090909091,0.681818182
EFL_9,2,4,0.1875,0.59375
EFL_9,3,4,0.175,0.325
EFL_9,4,4,0.096774194,0.580645161
EFL_9,5,4,0.392857143,0.571428571
EFL_9,6,5,0.28125,0.28125