Participant,Group,Frequency,Academic_Language
S_101,B,0.136546185,0.02811245
S_43,A,0.021834061,0.074235808
S_32,B,0.142222222,0.017777778
S_149,A,0.0390625,0.0546875
S_55,A,0.051282051,0.05982906
S_37,B,0.120772947,0.038647343
S_94,B,0.114155251,0.01826484
S_120,A,0.025862069,0.064655172
S_9,B,0.120192308,0.028846154
S_90,A,0.087962963,0.064814815
S_13,B,0.136,0.016
S_22,B,0.132075472,0.009433962
S_61,A,0.050925926,0.050925926
S_89,A,0.043478261,0.04743083
S_125,B,0.163716814,0.004424779
S_126,B,0.165876777,0.028436019
S_117,B,0.136585366,0.009756098
S_69,B,0.136150235,0.014084507
S_153,B,0.157068063,0
S_76,A,0.065843621,0.069958848
S_191,A,0.038610039,0.061776062
S_25,B,0.105,0.015
S_16,B,0.158730159,0.007936508
S_190,A,0.03539823,0.061946903
S_202,B,0.126582278,0.037974684
S_114,A,0.054474708,0.06614786
S_172,A,0.028708134,0.062200957
S_44,B,0.155797101,0.036231884
S_245,A,0.024390244,0.048780488
S_138,A,0.046610169,0.055084746
S_17,A,0.035714286,0.047619048
S_142,B,0.179104478,0.004975124
S_212,A,0.014018692,0.046728972
S_35,B,0.110655738,0.016393443
S_161,A,0.057017544,0.065789474
S_201,B,0.139175258,0.010309278
S_81,A,0.03630363,0.04620462
S_239,B,0.123853211,0.018348624
S_1,A,0.044117647,0.058823529
S_146,B,0.173515982,0.03196347
S_153,A,0.026431718,0.057268722
S_28,B,0.161403509,0.01754386
S_175,A,0.044534413,0.04048583
S_36,A,0.051886792,0.056603774
S_214,B,0.139037433,0.021390374
S_216,A,0.037433155,0.053475936
S_78,B,0.136929461,0.024896266
S_79,B,0.118243243,0.047297297
S_72,B,0.115740741,0.037037037
S_240,B,0.108490566,0.028301887
S_50,B,0.123762376,0.014851485
S_122,A,0.057416268,0.043062201
S_65,B,0.144278607,0.014925373
S_188,A,0.041860465,0.074418605
S_100,B,0.118773946,0.011494253
S_35,A,0.030701754,0.048245614
S_99,B,0.078703704,0.00462963
S_147,B,0.118226601,0.039408867
S_20,A,0.043478261,0.052173913
S_193,A,0.030837004,0.088105727
S_169,B,0.155251142,0.01369863
S_135,A,0.054607509,0.044368601
S_132,A,0.023923445,0.071770335
S_34,B,0.128078818,0.039408867
S_73,A,0.041322314,0.08677686
S_241,A,0.029126214,0.038834951
S_25,A,0.026548673,0.030973451
S_124,B,0.131868132,0.014652015
S_248,A,0.030534351,0.083969466
S_159,B,0.133333333,0.013333333
S_243,B,0.125603865,0.014492754
S_163,B,0.132478632,0.02991453
S_242,B,0.126984127,0.027777778
S_42,B,0.139130435,0.043478261
S_176,A,0.03125,0.026785714
S_120,B,0.126086957,0.052173913
S_182,B,0.154545455,0.004545455
S_166,B,0.133333333,0.026666667
S_174,A,0.043824701,0.067729084
S_218,B,0.121827411,0.025380711
S_221,A,0.033783784,0.074324324
S_21,A,0.05,0.054545455
S_48,A,0.046413502,0.063291139
S_196,B,0.127118644,0.06779661
S_87,B,0.114832536,0.004784689
S_196,A,0.017667845,0.049469965
S_151,A,0.041284404,0.091743119
S_123,B,0.159624413,0.023474178
S_234,A,0.024169184,0.075528701
S_170,A,0.024038462,0.038461538
S_136,B,0.174528302,0.028301887
S_37,A,0.045045045,0.054054054
S_226,A,0.035087719,0.058479532
S_168,B,0.146341463,0.028455285
S_162,B,0.124463519,0.004291845
S_164,A,0.018939394,0.034090909
S_167,A,0.038461538,0.021367521
S_111,A,0.033472803,0.046025105
S_107,A,0.029535865,0.063291139
S_143,B,0.155251142,0.00456621
S_139,B,0.147465438,0.013824885
S_194,A,0.044609665,0.037174721
S_113,B,0.148648649,0.022522523
S_59,B,0.12195122,0.019512195
S_208,A,0.03125,0.046875
S_200,A,0.052434457,0.041198502
S_224,B,0.131455399,0.009389671
S_230,A,0.051948052,0.073593074
S_99,A,0.041474654,0.073732719
S_30,A,0.04845815,0.070484581
S_139,A,0.034825871,0.064676617
S_198,A,0.037209302,0.060465116
S_218,A,0.054545455,0.054545455
S_23,B,0.138755981,0.028708134
S_44,A,0.039087948,0.061889251
S_47,B,0.182320442,0.038674033
S_87,A,0.028985507,0.072463768
S_88,A,0.048076923,0.0625
S_198,B,0.108695652,0.02173913
S_236,B,0.090517241,0.030172414
S_166,A,0.059288538,0.055335968
S_43,B,0.169811321,0.033018868
S_177,A,0.043307087,0.07480315
S_128,B,0.121673004,0.011406844
S_40,A,0.059288538,0.059288538
S_228,B,0.098214286,0.029761905
S_63,B,0.138888889,0.023148148
S_20,B,0.142156863,0.019607843
S_226,B,0.134146341,0.032520325
S_175,B,0.138613861,0.024752475
S_109,B,0.134259259,0.032407407
S_183,B,0.178571429,0.004464286
S_244,A,0.049751244,0.039800995
S_3,A,0.029166667,0.0375
S_97,B,0.107296137,0.012875536
S_118,A,0.027149321,0.07239819
S_97,A,0.027586207,0.062068966
S_49,A,0.022321429,0.049107143
S_11,A,0.013953488,0.079069767
S_235,B,0.10546875,0.00390625
S_122,B,0.12605042,0.016806723
S_1,B,0.136986301,0.02739726
S_58,A,0.038647343,0.028985507
S_246,A,0.021097046,0.050632911
S_189,B,0.128205128,0.008547009
S_227,A,0.06147541,0.06147541
S_6,B,0.121848739,0.004201681
S_96,B,0.12244898,0.023809524
S_181,B,0.130630631,0.040540541
S_5,A,0.057777778,0.062222222
S_249,A,0.023474178,0.061032864
S_53,B,0.173515982,0.01369863
S_31,A,0.017316017,0.051948052
S_41,A,0.025531915,0.034042553
S_161,B,0.135135135,0.022522523
S_142,A,0.034653465,0.034653465
S_108,A,0.023474178,0.051643192
S_28,A,0.040909091,0.059090909
S_171,A,0.043902439,0.03902439
S_2,A,0.02955665,0.064039409
S_189,A,0.030973451,0.044247788
S_58,B,0.140186916,0.009345794
S_163,A,0.03125,0.09375
S_80,A,0.043290043,0.056277056
S_149,B,0.150197628,0.015810277
S_79,A,0.04620462,0.066006601
S_190,B,0.140271493,0.009049774
S_137,B,0.140425532,0.008510638
S_59,A,0.029126214,0.058252427
S_110,B,0.150485437,0.019417476
S_125,A,0.019083969,0.049618321
S_130,A,0.027888446,0.047808765
S_232,B,0.165957447,0.029787234
S_237,B,0.115044248,0.008849558
S_219,A,0.018099548,0.054298643
S_10,A,0.019512195,0.068292683
S_116,B,0.110576923,0.009615385
S_75,A,0.024896266,0.058091286
S_38,B,0.098591549,0.03286385
S_27,A,0.03125,0.075892857
S_105,A,0.013157895,0.052631579
S_127,B,0.084444444,0.035555556
S_104,A,0.03196347,0.0456621
S_102,B,0.134199134,0.025974026
S_61,B,0.146118721,0.00913242
S_135,B,0.137614679,0.02293578
S_67,B,0.144859813,0.023364486
S_71,B,0.142857143,0.01984127
S_89,B,0.091205212,0.026058632
S_211,A,0.025862069,0.073275862
S_130,B,0.126353791,0.010830325
S_2,B,0.117845118,0.026936027
S_209,A,0.024691358,0.041152263
S_219,B,0.143497758,0.013452915
S_103,A,0.025089606,0.082437276
S_16,A,0.012605042,0.054621849
S_11,B,0.161702128,0.021276596
S_53,A,0.008583691,0.055793991
S_72,A,0.03255814,0.055813953
S_62,A,0.069230769,0.080769231
S_14,B,0.108433735,0.060240964
S_129,B,0.0995671,0.017316017
S_141,A,0.018181818,0.022727273
S_47,A,0.015209125,0.034220532
S_205,B,0.132142857,0.035714286
S_7,B,0.097087379,0.072815534
S_157,A,0.026666667,0.057777778
S_64,A,0.033457249,0.033457249
S_129,A,0.051792829,0.039840637
S_184,A,0.033492823,0.062200957
S_162,A,0.043859649,0.057017544
S_30,B,0.112745098,0
S_203,B,0.121848739,0.012605042
S_14,A,0.045627376,0.076045627
S_68,B,0.104918033,0.049180328
S_32,A,0.043859649,0.048245614
S_217,B,0.104803493,0.008733624
S_86,B,0.1015625,0.04296875
S_75,B,0.128571429,0.014285714
S_98,B,0.12890625,0.0546875
S_194,B,0.084821429,0.008928571
S_42,A,0.043478261,0.075098814
S_95,B,0.09929078,0.021276596
S_82,A,0.033980583,0.072815534
S_248,B,0.063291139,0.050632911
S_228,A,0.043613707,0.080996885
S_195,A,0.044534413,0.072874494
S_23,A,0.058823529,0.050420168
S_8,B,0.165137615,0.009174312
S_81,B,0.102222222,0.017777778
S_247,B,0.150485437,0.014563107
S_191,B,0.146788991,0.018348624
S_164,B,0.128712871,0
S_131,B,0.162790698,0.018604651
S_230,B,0.109756098,0.020325203
S_108,B,0.123348018,0.026431718
S_110,A,0.04245283,0.047169811
S_50,A,0.033980583,0.097087379
S_21,B,0.106280193,0.004830918
S_67,A,0.032110092,0.064220183
S_121,B,0.149377593,0.01659751
S_18,B,0.13368984,0.016042781
S_7,A,0.036199095,0.076923077
S_116,A,0.024038462,0.038461538
S_92,A,0.053719008,0.078512397
S_93,A,0.037914692,0.071090047
S_158,A,0.038961039,0.069264069
S_105,B,0.167487685,0.034482759
S_212,B,0.081081081,0.042471042
S_91,A,0.043478261,0.043478261
S_83,A,0.044843049,0.053811659
S_102,A,0.040677966,0.044067797
S_245,B,0.119815668,0.02764977
S_204,A,0.025751073,0.060085837
S_54,B,0.131782946,0.007751938
S_160,A,0.031674208,0.081447964
S_145,B,0.080188679,0.018867925
S_155,A,0.038961039,0.043290043
S_68,A,0.033088235,0.047794118
S_143,A,0.040441176,0.040441176
S_6,A,0.036866359,0.036866359
S_197,B,0.110132159,0.004405286
S_132,B,0.143564356,0.034653465
S_57,B,0.156950673,0.013452915
S_157,B,0.155,0.035
S_187,A,0.034090909,0.060606061
S_224,A,0.043824701,0.051792829
S_100,A,0.045454545,0.061688312
S_33,B,0.138095238,0.014285714
S_104,B,0.137440758,0.014218009
S_22,A,0.043478261,0.033816425
S_76,B,0.115702479,0.008264463
S_220,A,0.046082949,0.055299539
S_181,A,0.046822742,0.063545151
S_3,B,0.153543307,0.003937008
S_231,A,0.033175355,0.071090047
S_17,B,0.147619048,0.014285714
S_213,A,0.035971223,0.039568345
S_146,A,0.051162791,0.060465116
S_141,B,0.109170306,0.008733624
S_165,A,0.041666667,0.055555556
S_29,A,0.033980583,0.063106796
S_118,B,0.155339806,0.009708738
S_136,A,0.037735849,0.051886792
S_73,B,0.136150235,0.023474178
S_56,B,0.110047847,0.043062201
S_214,A,0.032374101,0.039568345
S_12,A,0.027149321,0.054298643
S_220,B,0.12195122,0.019512195
S_179,B,0.091304348,0.030434783
S_232,A,0.053956835,0.064748201
S_170,B,0.137254902,0.009803922
S_133,A,0.029661017,0.063559322
S_227,B,0.123222749,0.028436019
S_94,A,0.039525692,0.055335968
S_52,A,0.03255814,0.051162791
S_229,A,0.044534413,0.056680162
S_144,B,0.116883117,0.021645022
S_77,B,0.115740741,0.027777778
S_112,B,0.101449275,0.033816425
S_29,B,0.149253731,0.004975124
S_172,B,0.154228856,0.029850746
S_65,A,0.032110092,0.082568807
S_173,B,0.130044843,0.01793722
S_113,A,0.020689655,0.04137931
S_246,B,0.126637555,0.021834061
S_233,B,0.112554113,0.025974026
S_233,A,0.037344398,0.074688797
S_15,A,0.043859649,0.087719298
S_107,B,0.136363636,0.025252525
S_77,A,0.040983607,0.032786885
S_180,B,0.135746606,0.027149321
S_119,B,0.131455399,0.014084507
S_13,A,0.055555556,0.094017094
S_237,A,0.009569378,0.023923445
S_207,B,0.108910891,0.04290429
S_103,B,0.145228216,0.01659751
S_80,B,0.15942029,0.033816425
S_206,A,0.053231939,0.034220532
S_86,A,0.035555556,0.044444444
S_249,B,0.117924528,0.004716981
S_51,A,0.030837004,0.070484581
S_45,B,0.155778894,0.015075377
S_185,A,0.029787234,0.072340426
S_195,B,0.128078818,0.039408867
S_186,A,0.013761468,0.068807339
S_223,A,0.048076923,0.048076923
S_45,A,0.030042918,0.055793991
S_150,A,0.036866359,0.041474654
S_46,A,0.0456621,0.063926941
S_152,A,0.013100437,0.07860262
S_133,B,0.107954545,0.022727273
S_202,A,0.038461538,0.066433566
S_173,A,0.03652968,0.01826484
S_127,A,0.034351145,0.076335878
S_209,B,0.089201878,0
S_98,A,0.013333333,0.083333333
S_4,B,0.136752137,0.004273504
S_247,A,0.030837004,0.052863436
S_62,B,0.116731518,0.054474708
S_123,A,0.02283105,0.073059361
S_223,B,0.118721461,0.01826484
S_178,B,0.146443515,0.0041841
S_18,A,0.056122449,0.056122449
S_88,B,0.117647059,0.039215686
S_8,A,0.025,0.058333333
S_63,A,0.01659751,0.078838174
S_38,A,0.019138756,0.043062201
S_96,A,0.032142857,0.05
S_234,B,0.109489051,0.018248175
S_250,B,0.109649123,0.030701754
S_211,B,0.120192308,0.076923077
S_147,A,0.034188034,0.05982906
S_152,B,0.134529148,0.022421525
S_93,B,0.133004926,0.034482759
S_83,B,0.179104478,0.014925373
S_5,B,0.150943396,0.056603774
S_150,B,0.138095238,0.023809524
S_235,A,0.022875817,0.045751634
S_138,B,0.120930233,0.009302326
S_82,B,0.157142857,0.028571429
S_40,B,0.12195122,0.020905923
S_215,B,0.123853211,0.009174312
S_92,B,0.147601476,0.007380074
S_217,A,0.033707865,0.048689139
S_238,A,0.071428571,0.031746032
S_48,B,0.097674419,0.018604651
S_244,B,0.125581395,0.004651163
S_124,A,0.023255814,0.062015504
S_114,B,0.134883721,0.009302326
S_231,B,0.075829384,0.023696682
S_101,A,0.020408163,0.097959184
S_64,B,0.154205607,0.014018692
S_26,A,0.014150943,0.04245283
S_199,B,0.152263374,0.008230453
S_199,A,0.028571429,0.065306122
S_192,B,0.138392857,0.026785714
S_203,A,0.030701754,0.061403509
S_55,B,0.122605364,0.022988506
S_216,B,0.123222749,0.033175355
S_74,B,0.12254902,0.029411765
S_151,B,0.123152709,0.02955665
S_225,B,0.126086957,0.026086957
S_134,B,0.124378109,0
S_84,A,0.052631579,0.072368421
S_10,B,0.09623431,0.016736402
S_179,A,0.032388664,0.064777328
S_222,A,0.031111111,0.066666667
S_155,B,0.094405594,0.01048951
S_187,B,0.154929577,0.023474178
S_169,A,0.038277512,0.062200957
S_109,A,0.025531915,0.076595745
S_90,B,0.123809524,0.023809524
S_158,B,0.095,0.025
S_106,B,0.171945701,0.009049774
S_156,B,0.111650485,0.038834951
S_111,B,0.119402985,0.024875622
S_210,A,0.049261084,0.044334975
S_243,A,0.033472803,0.050209205
S_185,B,0.101626016,0.028455285
S_19,B,0.115384615,0.01048951
S_85,A,0.014981273,0.052434457
S_177,B,0.159533074,0.027237354
S_200,B,0.126984127,0.023809524
S_26,B,0.16,0.008888889
S_117,A,0.014084507,0.042253521
S_51,B,0.133333333,0.022222222
S_34,A,0.028169014,0.046948357
S_241,B,0.122727273,0
S_188,B,0.128888889,0.017777778
S_70,B,0.161764706,0.014705882
S_66,B,0.141552511,0.02283105
S_54,A,0.064220183,0.04587156
S_221,B,0.074380165,0.02892562
S_78,A,0.041474654,0.055299539
S_85,B,0.169565217,0.004347826
S_192,A,0.013392857,0.066964286
S_148,A,0.058295964,0.058295964
S_205,A,0.02,0.03
S_69,A,0.038095238,0.071428571
S_115,A,0.023166023,0.073359073
S_39,B,0.128571429,0.00952381
S_131,A,0.042857143,0.071428571
S_160,B,0.142857143,0.044334975
S_178,A,0.040909091,0.036363636
S_222,B,0.12254902,0.014705882
S_24,A,0.036363636,0.054545455
S_121,A,0.033898305,0.050847458
S_70,A,0.00952381,0.057142857
S_204,B,0.148717949,0.01025641
S_225,A,0.03202847,0.053380783
S_134,A,0.01843318,0.055299539
S_41,B,0.165048544,0.004854369
S_206,B,0.136792453,0.018867925
S_39,A,0.013953488,0.055813953
S_119,A,0.037209302,0.041860465
S_60,A,0.03255814,0.065116279
S_180,A,0.059574468,0.063829787
S_66,A,0.037383178,0.056074766
S_36,B,0.121212121,0.025974026
S_137,A,0.040540541,0.031531532
S_106,A,0.021645022,0.025974026
S_240,A,0.024390244,0.073170732
S_184,B,0.146938776,0.016326531
S_174,B,0.139344262,0.028688525
S_144,A,0.032258065,0.050179211
S_165,B,0.161904762,0.033333333
S_168,A,0.030701754,0.061403509
S_207,A,0.029032258,0.074193548
S_238,B,0.125,0.008928571
S_148,B,0.099585062,0.041493776
S_9,A,0.038793103,0.060344828
S_24,B,0.158415842,0.014851485
S_57,A,0.045112782,0.033834586
S_60,B,0.145454545,0.013636364
S_236,A,0.053941909,0.049792531
S_33,A,0.033980583,0.063106796
S_56,A,0.042735043,0.05982906
S_4,A,0.029304029,0.043956044
S_201,A,0.036697248,0.041284404
S_112,A,0.024305556,0.038194444
S_71,A,0.028436019,0.071090047
S_145,A,0.062761506,0.071129707
S_239,A,0.024271845,0.033980583
S_171,B,0.127192982,0.013157895
S_182,A,0.041666667,0.050925926
S_74,A,0.046428571,0.053571429
S_15,B,0.140969163,0.013215859
S_183,A,0.024489796,0.06122449
S_210,B,0.124378109,0
S_91,B,0.121359223,0.038834951
S_250,A,0.041860465,0.051162791
S_229,B,0.098039216,0.02745098
S_95,A,0.028938907,0.064308682
S_208,B,0.097560976,0.004878049
S_154,A,0.056451613,0.060483871
S_84,B,0.116104869,0.033707865
S_31,B,0.136150235,0.03286385
S_215,A,0.014634146,0.03902439
S_46,B,0.1,0.025
S_186,B,0.155251142,0.01826484
S_27,B,0.180487805,0.014634146
S_140,A,0.044843049,0.044843049
S_213,B,0.103448276,0
S_197,A,0.009463722,0.041009464
S_49,B,0.174757282,0.009708738
S_159,A,0.02955665,0.068965517
S_154,B,0.134146341,0.024390244
S_12,B,0.103846154,0.026923077
S_52,B,0.130044843,0.040358744
S_156,A,0.063157895,0.063157895
S_242,A,0.036101083,0.068592058
S_128,A,0.022364217,0.054313099
S_193,B,0.138888889,0.032407407
S_126,A,0.046948357,0.070422535
S_140,B,0.137440758,0.042654028
S_167,B,0.138613861,0.014851485
S_19,A,0.038062284,0.048442907
S_115,B,0.110047847,0.028708134
S_176,B,0.098130841,0